"date"
"09-Apr-2018 10:40:13 PM PDT"
"12-Dec-2018 4:10:18 PM PST"
"10-Sep-2020 3:47:53 PM PDT"
"27-Jul-2019 6:22:25 PM PDT"
"23-Mar-2019 2:25:53 AM PDT"
"28-Mar-2019 1:03:49 PM PDT"
"30-Jul-2019 9:41:49 PM PDT"
"17-Jun-2018 11:32:42 PM PDT"
"14-Feb-2020 11:29:21 AM PST"
"11-Sep-2020 10:14:55 PM PDT"
"15-Oct-2020 2:32:42 PM PDT"
"08-Mar-2018 3:59:27 PM PST"
"15-Mar-2019 11:51:17 AM PDT"
"01-Oct-2018 4:43:03 PM PDT"
"21-Nov-2019 3:33:18 PM PST"
"27-Dec-2019 2:18:54 PM PST"
"14-May-2018 9:30:18 AM PDT"
"21-Jan-2020 11:07:34 AM PST"
"20-Apr-2018 6:08:58 PM PDT"
"13-Jun-2020 11:35:27 AM PDT"
"25-Jun-2020 9:13:12 PM PDT"
"05-May-2020 10:11:10 AM PDT"
"27-Apr-2018 8:52:40 PM PDT"
"25-Feb-2020 9:12:52 PM PST"
"19-Feb-2019 3:04:12 PM PST"
"11-Nov-2019 4:21:54 PM PST"
"14-Mar-2019 2:52:20 PM PDT"
"06-Nov-2018 1:16:21 PM PST"
"04-Mar-2019 5:04:32 PM PST"
"03-Sep-2018 7:28:10 PM PDT"
"22-Mar-2019 7:42:48 PM PDT"
"06-May-2020 10:27:23 AM PDT"
"04-Mar-2019 3:57:12 PM PST"
"30-Jan-2020 10:01:52 AM PST"
"09-Sep-2018 3:55:52 PM PDT"
"30-Aug-2018 9:46:36 AM PDT"
"29-Aug-2018 3:34:32 PM PDT"
"17-May-2020 11:28:41 AM PDT"
"16-Aug-2018 11:28:24 AM PDT"
"27-Mar-2019 8:44:04 PM PDT"
"04-Oct-2018 2:40:53 PM PDT"
"28-Jan-2020 3:50:51 PM PST"
"21-Jan-2018 4:31:32 PM PST"
"20-Nov-2019 10:18:53 AM PST"
"19-Aug-2020 7:14:09 PM PDT"
"21-Feb-2019 1:26:13 PM PST"
"28-Apr-2018 7:19:12 PM PDT"
"04-Nov-2018 12:43:14 PM PST"
"01-Jul-2018 7:59:48 AM PDT"
"08-Apr-2018 1:38:57 PM PDT"
"28-Apr-2020 3:43:25 PM PDT"
"15-Feb-2018 1:09:29 PM PST"
"31-Oct-2017 10:11:52 PM PDT"
"11-Jun-2018 9:56:26 AM PDT"
"08-Apr-2020 9:49:22 AM PDT"
"11-Sep-2020 5:26:53 PM PDT"
"21-Sep-2018 3:46:16 PM PDT"
"28-Mar-2019 1:10:29 PM PDT"
"27-Apr-2019 11:44:56 AM PDT"
"01-May-2020 10:22:37 AM PDT"
"15-Apr-2018 5:03:34 PM PDT"
"12-Sep-2018 1:45:33 PM PDT"
"14-Oct-2020 10:11:22 AM PDT"
"20-Apr-2018 7:26:43 PM PDT"
"11-Feb-2018 4:52:44 PM PST"
"04-Dec-2017 10:54:26 PM PST"
"07-Dec-2019 9:52:04 AM PST"
"13-Nov-2019 8:00:18 AM PST"
"07-Nov-2018 2:24:08 PM PST"
"08-Jul-2019 2:58:56 PM PDT"
"27-Sep-2018 4:34:42 PM PDT"
"10-Mar-2018 1:55:31 PM PST"
"18-Jun-2018 12:24:45 AM PDT"
"04-Nov-2017 5:22:08 PM PDT"
